Data operacji;Kontrahent;Tytuł;Kwota
2024-01-05;FIRMA EXAMPLE SP. Z O.O.;Wynagrodzenie za styczen 2024;8500,00
2024-01-10;BIEDRONKA;Zakupy spozywcze;-87,40
2024-01-12;NETFLIX;Subskrypcja Netflix;-45,00
2024-01-15;PKO BP;Rata kredytu hipotecznego;-1850,00
2024-01-18;MCDONALD S;Obiad;-32,50
2024-01-20;ZUS;Skladka ubezpieczenia spolecznego;-600,00
2024-01-22;URZAD SKARBOWY;Zaliczka na podatek dochodowy;-450,00
2024-01-25;LIDL;Zakupy;-120,30
2024-01-28;SPOTIFY;Spotify Premium;-23,99
2024-02-05;FIRMA EXAMPLE SP. Z O.O.;Wynagrodzenie za luty 2024;8500,00
2024-02-08;IKEA;Meble do biura;-320,00
2024-02-12;MERCEDES FINANCIAL;Rata leasingu;-1200,00
2024-02-15;STARBUCKS;Kawa;-22,00
2024-02-18;ZUS;Skladka zdrowotna luty;-600,00
2024-02-20;KAUFLAND;Zakupy spozywcze;-95,60
2024-02-25;URZAD SKARBOWY;Podatek dochodowy luty;-450,00
2024-03-05;FIRMA EXAMPLE SP. Z O.O.;Wynagrodzenie za marzec 2024;8500,00
2024-03-08;ZABKA;Zakupy;-25,00
2024-03-12;PKO BP;Rata kredytu hipotecznego;-1850,00
2024-03-15;MULTISPORT;Karta Multisport;-130,00
